| text                                                        | label |
| ----------------------------------------------------------- | ----- |
| Government announces new education policy for schools       | REAL  |
| Scientists discover water on Mars after successful research | REAL  |
| Indian cricket team wins the international tournament       | REAL  |
| New railway line inaugurated in Tamil Nadu                  | REAL  |
| Stock market rises after positive economic reports          | REAL  |
| Health ministry launches free vaccination program           | REAL  |
| Heavy rainfall expected in Chennai this weekend             | REAL  |
| Researchers develop new AI technology for healthcare        | REAL  |
| Electric vehicle sales increase across India                | REAL  |
| Bank reduces loan interest rates for students               | REAL  |
| Aliens landed in Chennai yesterday night                    | FAKE  |
| Drinking petrol cures all diseases instantly                | FAKE  |
| Humans can survive without sleep for one month              | FAKE  |
| Moon will crash into Earth next week                        | FAKE  |
| Secret invisible city found under the ocean                 | FAKE  |
| Eating only chocolate helps lose 20 kg in 2 days            | FAKE  |
| Scientists confirm dinosaurs are alive in Africa            | FAKE  |
| Government gives 10 lakh rupees to every citizen tomorrow   | FAKE  |
| Mobile towers can read human thoughts                       | FAKE  |
| Time travel machine discovered by teenager                  | FAKE  |
| NASA confirms dragons exist on another planet               | FAKE  |
| Magic plant discovered that makes people immortal           | FAKE  |
| ATM machines will distribute free gold coins today          | FAKE  |
| New study says humans no longer need water to survive       | FAKE  |
| Sun will not rise tomorrow due to space disturbance         | FAKE  |
| India launches new satellite for weather forecasting        | REAL  |
| Local farmers receive government financial support          | REAL  |
| Tech company releases advanced cybersecurity software       | REAL  |
| Scientists create affordable solar energy solution          | REAL  |
| Hospitals introduce robotic surgery technology              | REAL  |

